,G_x,G_y,G_z,X,Y,Z,azimuth,beta,dip,formation,index,kappa,n_points,polarity
0,0.0792224140014,0.112974103803,0.990434581883,781795.9891111112,6348679.812444445,402.2005167222222,35.0,14.893609458361176,7.9311543550995465,Carboniferous,22.0,59.82163338635605,18.0,1
1,0.191255236993,0.283547549389,0.939692620787,780760.838375,6348796.305875,314.20510749999994,34.0,0,19.999999999832475,Carboniferous,31.0,9999,8.0,1
2,0.0593911746149,0.163175911168,0.984807753013,783313.63075,6347438.560750001,255.30931549999997,20.0,666,9.999999999670067,Carboniferous,38.0,666,4.0,1
3,0.148941991159,-0.190637055264,0.970295726277,781896.141125,6347862.220999999,347.69850425000004,142.0,0,13.99999999976317,Carboniferous,39.0,9999,8.0,1
4,0.26200263023,-0.219846310392,0.939692620787,783950.8289800001,6349212.820813499,398.180774,130.0,666,19.999999999832475,Carboniferous,41.0,666,4.0,1
5,-0.409576022143,-0.286788218175,0.866025403785,785080.44075,6347789.038000001,393.027424,235.0,666,29.999999999885404,Carboniferous,42.0,666,4.0,1
6,-0.219846310392,-0.262002630228,0.939692620787,784213.444715,6351593.650478,471.975305,220.0,0,19.999999999832475,Carboniferous,44.0,9999,1.0,1
7,-0.0449434555265,0.167731259498,0.984807753013,784412.4305606667,6349647.1485049995,366.53331899999995,345.0,666,9.999999999670067,Carboniferous,46.0,666,3.0,1
8,0.286788218177,0.409576022145,0.866025403785,782638.5773333333,6352529.667333335,502.5513506666668,35.0,666,29.999999999885404,Carboniferous,48.0,666,3.0,1
9,0.85165073964,0.397131261968,0.342020143327,783145.052828,6351700.125983,458.53872425,65.0,666,69.99999999993904,Carboniferous,49.0,666,4.0,1
10,-0.0743550784626,-0.0188271553306,0.997054091076,786509.4361574,6351660.616462399,218.70542100000003,256.0,666,4.3989999992530135,Carboniferous,58.0,666,5.0,1
11,-0.0593911746129,-0.336824088832,0.939692620787,784573.5537999999,6348245.5448,384.50486119999994,190.0,666,19.999999999832475,Carboniferous,65.0,666,5.0,1
12,-0.0515408554684,0.00908804342904,0.998629534756,784045.8224658,6348246.5347584,371.0439818,280.0,666,2.9999999989052997,Carboniferous,66.0,666,5.0,1
13,0.791153573831,-0.352244265553,0.500000000001,783553.8,6350816.2315,360.333436,114.0,666,59.99999999993384,Carboniferous,67.0,666,4.0,1
14,0.19617469497,0.280166499594,0.939692620787,783465.4989999998,6351046.7195,383.76788750000003,35.0,666,19.999999999832475,Carboniferous,68.0,666,2.0,1
15,-0.541675220419,-0.454519477671,0.707106781188,784161.767,6350283.949,334.509462,230.0,0,44.99999999991897,Carboniferous,69.0,9999,1.0,1
16,0.23870895237,-0.137818677907,0.961261695939,780763.5297999999,6351797.606999999,544.6421634000001,120.0,666,15.999999999792132,Carboniferous,71.0,666,5.0,1
17,0.171010071664,0.030153689608,0.984807753013,779866.6746666665,6352169.492,547.4862006666667,80.0,0,9.999999999670067,Carboniferous,72.0,9999,3.0,1
18,0.411934131804,-0.149931762454,0.8987940463,781224.0396666666,6352825.3226666665,566.2767889999999,110.0,666,25.999999999869296,Carboniferous,73.0,666,3.0,1
19,0.0650497522897,-0.368915477524,0.927183854568,781515.5803333333,6352710.944333334,599.240415,170.0,666,21.999999999847052,Carboniferous,74.0,666,3.0,1
20,0.0754790873062,0.0435778713748,0.996194698093,781528.0448333332,6350337.144166667,492.61764983333336,60.0,0,4.999999999342611,Carboniferous,75.0,9999,5.0,1
21,-0.0181511771598,-0.102940441035,0.994521895369,779770.21925,6350695.2842500005,427.99933674999994,190.0,666,5.999999999451902,Carboniferous,76.0,666,4.0,1
22,0.642396040843,-0.0224329640637,0.76604444312,779978.4458000001,6349395.6994,326.9885674,92.0,666,39.99999999991087,Carboniferous,78.0,666,5.0,1
23,0.392877428046,0.10527118957,0.913545457644,779716.0451999999,6348530.4092,231.49288900000002,75.0,666,23.999999999859142,Carboniferous,79.0,666,5.0,1
24,0.554032293223,0.148452505551,0.81915204429,789082.3342500001,6348910.075999999,232.7925845,75.0,666,34.99999999990011,Carboniferous,80.0,666,4.0,1
25,0.671010071664,0.469846310394,0.573576436352,789835.4406666666,6348610.426666667,326.58763733333336,55.0,666,54.99999999993006,Carboniferous,81.0,666,3.0,1
26,-0.36599815077,-0.211309130869,0.906307787038,791229.8327562,6350556.5746198,386.5614356,240.0,666,24.999999999864436,Carboniferous,84.0,666,5.0,1
27,-0.0739122617053,0.844821017119,0.529919264234,787378.8495,6350790.181499999,285.641895,355.0,666,57.99999999993245,Carboniferous,87.0,666,2.0,1
28,0.336824088834,-0.0593911746129,0.939692620787,785338.2646,6352866.936,484.3112476,100.0,666,19.999999999832475,Carboniferous,88.0,666,5.0,1
29,0.384568590393,-0.26927782595,0.88294759286,786510.669,6346035.0934,355.7341948,125.0,666,27.999999999877954,Carboniferous,90.0,666,5.0,1
30,0.816034923453,0.0713938048443,0.573576436352,787234.4395516667,6349948.421457333,300.270205,85.0,666,54.99999999993006,Carboniferous,93.0,666,3.0,1
31,0.257834160497,-0.0225575661121,0.96592582629,786943.9361149999,6348452.938937199,356.90800079999997,95.0,666,14.999999999778625,Carboniferous,94.0,666,5.0,1
32,-0.0669872981068,0.250000000001,0.96592582629,784549.08375,6349820.30425,343.15974225,345.0,666,14.999999999778625,Carboniferous,97.0,666,4.0,1
33,-0.243210346801,0.0885213269024,0.96592582629,784580.3111640001,6349969.81479,346.2844205,290.0,0,14.999999999778625,Carboniferous,98.0,9999,2.0,1
34,0.297046200088,-0.085176627231,0.951056516296,780344.5419999999,6350891.8476,438.27795640000005,106.0,666,17.999999999814598,Carboniferous,99.0,666,5.0,1
35,0.218077866931,-0.0837060172883,0.97233499712,780404.979375,6350266.56125,416.624019375,111.0,55.74361067470177,13.508568743235786,Carboniferous,100.0,121.63496605258456,8.0,1
36,0.145074691278,-0.272845811335,0.951056516296,789714.058,6349703.7936,237.83881660000003,152.0,0,17.999999999814598,Carboniferous,101.0,9999,5.0,1
37,0.60966990017,0.0856835166637,0.788010753608,789847.876977,6350166.77925325,294.47896625000004,82.0,0,37.99999999990695,Carboniferous,102.0,9999,4.0,1
38,0.129409522552,-0.224143868041,0.96592582629,789735.6560000001,6349559.362333334,232.11605799999998,150.0,0,14.999999999778625,Carboniferous,104.0,9999,3.0,1
39,0.0420311020192,-0.137324726637,0.989633925205,790552.9886302223,6349111.490809333,260.67567122222226,163.0,35.69328842206726,8.256969398891327,Carboniferous,105.0,83.66545572359844,9.0,1
40,0.454519477673,-0.454519477671,0.76604444312,791048.1885814999,6348974.62150675,232.6576285,135.0,666,39.99999999991087,Carboniferous,106.0,666,4.0,1
41,0.0372745535324,0.00710682144969,0.999279791024,785990.322714,6350189.0099260025,695.306224,79.0,0,2.174667998490179,Carboniferous,108.0,9999,1.0,1
42,0.408227467253,0.105042452157,0.906816639804,786665.7875000001,6352226.238000001,355.5836146666666,76.0,68.86713340422361,24.93092380584862,Carboniferous,109.0,125.16409136492787,6.0,1
43,-0.578141080097,-0.485117967078,0.656059028992,785214.7145,6348004.731999999,381.598264,230.0,666,48.999999999924086,Carboniferous,111.0,666,2.0,1
44,0.116977778442,-0.321393804842,0.939692620787,787491.1064340001,6350288.011101667,252.46486633333333,160.0,0,19.999999999832475,Carboniferous,113.0,9999,3.0,1
45,-0.163175911166,0.0593911746149,0.984807753013,787327.590333,6349227.219792999,433.5922066666667,290.0,666,9.999999999670067,Carboniferous,115.0,666,3.0,1
46,0.416197740728,-0.073386890999,0.906307787038,787106.4433333334,6349103.508666667,476.420221,100.0,0,24.999999999864436,Carboniferous,116.0,9999,3.0,1
47,0.996194698093,1.00006099933e-12,0.0871557427487,786408.6085000001,6351081.317499999,295.24420799999996,90.0,666,84.99999999994249,Carboniferous,119.0,666,2.0,1
48,0.754406506736,-0.133022221558,0.642787609688,786218.657,6352830.558999999,414.095653,100.0,666,49.99999999992521,Carboniferous,121.0,666,3.0,1
49,0.63302222156,-0.111618897048,0.76604444312,786255.754491,6347700.0675125,354.51441650000004,100.0,0,39.99999999991087,Carboniferous,123.0,9999,2.0,1
50,-0.409576022143,-0.286788218175,0.866025403785,787506.7175934999,6349831.3681335,289.206855,235.0,666,29.999999999885404,Carboniferous,125.0,666,2.0,1
51,0.271653782275,0.323744370968,0.906307787038,787474.9905000001,6349963.050999999,273.911906,40.0,666,24.999999999864436,Carboniferous,126.0,666,4.0,1
52,0.0593911746149,-0.336824088832,0.939692620787,789660.5113935,6349384.279380251,232.94931774999998,170.0,666,19.999999999832475,Carboniferous,129.0,666,4.0,1
53,0.482962913146,0.129409522552,0.866025403785,786604.196,6351052.944,257.514523,75.0,0,29.999999999885404,Carboniferous,131.0,9999,1.0,1
54,0.538985544697,-0.196174694968,0.81915204429,786427.4521999999,6352693.5430000005,439.4422176,110.0,666,34.99999999990011,Carboniferous,132.0,666,5.0,1
55,0.243210346803,-0.0885213269004,0.96592582629,786531.569892,6352580.20501,414.979209,110.0,0,14.999999999778625,Carboniferous,133.0,9999,1.0,1
56,0.409576022145,0.286788218177,0.866025403785,785662.6847853335,6347366.551984999,386.4407703333333,55.0,666,29.999999999885404,Carboniferous,134.0,666,3.0,1
57,0.0754790873062,-0.0435778713728,0.996194698093,786169.099438,6346888.139505334,390.34397599999994,120.0,666,4.999999999342611,Carboniferous,135.0,666,3.0,1
58,-0.579227965339,-0.405579787672,0.707106781188,789697.5593416666,6349396.0748890005,235.7944623333333,235.0,666,44.99999999991897,Carboniferous,137.0,666,3.0,1
59,-0.365572473207,-0.178301608665,0.913545457644,789715.4447969999,6349425.631715,238.05581933333335,244.0,666,23.999999999859142,Carboniferous,138.0,666,3.0,1
60,0.0298090196272,0.0818996083201,0.996194698093,786547.2121666666,6350862.264499999,275.2632521666667,20.0,666,4.999999999342611,Carboniferous,139.0,666,5.0,1
61,-0.754406506734,0.63302222156,-0.173648177666,783321.792,6349329.492000001,462.12948940000007,310.0,666,99.99999999994182,Carboniferous,141.0,666,5.0,1
62,0.996194698093,-0.0871557427467,1.00006123234e-12,783183.70918,6349122.88426,447.591693,95.0,0,89.9999999999427,Carboniferous,146.0,9999,1.0,1
63,-0.640341608768,-0.0560226315502,0.76604444312,783040.830071,6348997.735194333,440.5148146666667,265.0,666,39.99999999991087,Carboniferous,148.0,666,3.0,1
64,-0.907673371189,0.243210346803,0.342020143327,783103.5776617501,6349055.084169,445.12367075,285.0,0,69.99999999993904,Carboniferous,149.0,9999,4.0,1
65,-0.0633944731237,0.137082142283,0.988529021852,788219.1614373,6351056.191149199,380.02366939999996,335.0,221.27231035431853,8.686681151414145,Liassic,9.0,441.24384920887786,10.0,1
66,-0.0667651724168,0.0560226315522,0.996194698093,789458.6086360001,6351273.070546333,348.2825883333333,310.0,666,4.999999999342611,Liassic,11.0,666,3.0,1
67,0.107324013446,-0.0017178053724,0.994222613544,787388.5175000001,6351898.9265,580.4187498333332,91.0,132.431972706986,6.161871710748595,Liassic,15.0,276.7827909286638,6.0,1
68,-0.236907533599,-0.215005709109,0.947442539458,790607.1685573333,6348197.8779586665,422.9650448333334,228.0,143.9014237346465,18.658448694602455,Liassic,23.0,276.1776775666928,6.0,1
69,1e-12,0.0871557427487,0.996194698093,787961.1390999999,6352610.4892,508.76485279999997,0.0,0,4.999999999342611,Liassic,25.0,9999,10.0,1
