X,Y,Z,lith
112.5,199.16667,610.865,3.0
112.5,199.16667,635.97046,3.0
112.5,199.16667,661.0759,3.0
112.5,199.16667,686.18146,3.0
112.5,199.16667,711.2869,3.0
137.5,0.8333333,560.654,3.0
137.5,0.8333333,585.7595,3.0
137.5,0.8333333,610.865,3.0
137.5,0.8333333,635.97046,3.0
137.5,0.8333333,661.0759,3.0
137.5,0.8333333,686.18146,3.0
137.5,0.8333333,711.2869,3.0
137.5,0.8333333,736.3924,3.0
137.5,66.94444,560.654,3.0
137.5,66.94444,585.7595,3.0
137.5,66.94444,610.865,3.0
137.5,66.94444,635.97046,3.0
137.5,66.94444,661.0759,3.0
137.5,66.94444,686.18146,3.0
137.5,66.94444,711.2869,3.0
137.5,66.94444,736.3924,3.0
137.5,133.05556,560.654,3.0
137.5,133.05556,585.7595,3.0
137.5,133.05556,610.865,3.0
137.5,133.05556,635.97046,3.0
137.5,133.05556,661.0759,3.0
137.5,133.05556,686.18146,3.0
137.5,133.05556,711.2869,3.0
137.5,133.05556,736.3924,3.0
137.5,199.16667,560.654,3.0
137.5,199.16667,585.7595,3.0
137.5,199.16667,610.865,3.0
137.5,199.16667,635.97046,3.0
137.5,199.16667,661.0759,3.0
137.5,199.16667,686.18146,3.0
137.5,199.16667,711.2869,3.0
137.5,199.16667,736.3924,3.0
162.5,0.8333333,560.654,3.0
162.5,0.8333333,585.7595,3.0
162.5,0.8333333,610.865,3.0
162.5,0.8333333,635.97046,3.0
162.5,0.8333333,661.0759,3.0
162.5,0.8333333,686.18146,3.0
162.5,0.8333333,711.2869,3.0
162.5,0.8333333,736.3924,3.0
162.5,66.94444,560.654,3.0
162.5,66.94444,585.7595,3.0
162.5,66.94444,610.865,3.0
162.5,66.94444,635.97046,3.0
162.5,66.94444,661.0759,3.0
162.5,66.94444,686.18146,3.0
162.5,66.94444,711.2869,3.0
162.5,66.94444,736.3924,3.0
162.5,133.05556,560.654,3.0
162.5,133.05556,585.7595,3.0
162.5,133.05556,610.865,3.0
162.5,133.05556,635.97046,3.0
162.5,133.05556,661.0759,3.0
162.5,133.05556,686.18146,3.0
162.5,133.05556,711.2869,3.0
162.5,133.05556,736.3924,3.0
162.5,199.16667,560.654,3.0
162.5,199.16667,585.7595,3.0
