Unnamed: 0,G_x,G_y,G_z,X,Y,Z,azimuth,beta,dip,formation,index,kappa,n_points,polarity
130,-0.0593911746129,0.336824088834,0.9396926207870001,787125.5103333333,6352373.787333333,508.46767699999987,350.0,0.0,19.99999999983248,Liassic,107.0,9999.0,3.0,1
131,-0.45837280634099997,0.12282062329299999,0.8802326197660001,790805.3319999998,6350023.105333333,411.5243926666667,285.0,0.0,28.329563055239696,Liassic,112.0,296.198639675,3.0,1
132,-0.178114842088,0.0901010814701,0.9798759605930001,790829.9103560002,6350388.76482,468.130216,297.0,0.0,11.513999999712949,Liassic,113.0,9999.0,1.0,1
133,-0.167731259496,0.044943455528499994,0.984807753013,790888.56,6349725.501,409.85400699999997,285.0,0.0,9.999999999670068,Liassic,114.0,9999.0,1.0,1
134,-0.415542494846,0.069232102525,0.9069351415379999,790796.3573999999,6349851.509399999,410.2074216,279.0,0.0,24.91481159707477,Liassic,115.0,197.50428014,5.0,1
135,-0.3728539996750943,-0.02562678450679601,0.9275360709115991,791379.8829999998,6349918.043499999,444.448241,266.0,0.0,21.946065953650432,Liassic,116.0,666.0,2.0,1
136,-0.271653782273,0.323744370968,0.906307787038,792939.553,6349524.287000001,263.27771,320.0,0.0,24.99999999986444,Liassic,117.0,9999.0,1.0,1
137,0.03757160869122771,0.25595813682169233,0.9659574557997476,792281.9693440001,6349909.968882501,397.74712150000005,8.0,0.0,14.99299645461705,Liassic,119.0,666.0,2.0,1
138,-0.0054536416599613715,0.04909964954975702,0.99877899567759,792443.5947395001,6349667.9542295,291.9283015000001,354.0,0.0,2.8316555951788014,Liassic,120.0,666.0,2.0,1
139,-0.09466166328469904,0.08660437753700118,0.9917352727898724,789858.5634999998,6347706.877500001,402.961773,312.0,0.0,7.371425094014272,Liassic,126.0,666.0,2.0,1
140,-0.30795213695732976,0.09094485806447138,0.9470451489422492,789741.7,6347187.9955,299.759707,286.0,0.0,18.7294872540506,Liassic,127.0,666.0,2.0,1
141,0.04114307775629812,-0.24254350756459234,0.9692677102281928,789029.4217619998,6348370.508052,382.745447,170.0,0.0,14.241431617604555,Liassic,128.0,666.0,2.0,1
142,-0.03988459853271307,-0.05237061461712345,0.997830916300206,789140.3338970001,6348255.555373,385.72514750000005,217.0,0.0,3.774455579074233,Liassic,129.0,666.0,2.0,1
143,-0.24999999999896044,-0.43301270189116203,0.8660254037852674,789769.3674074998,6348344.519719503,347.89988250000005,210.0,0.0,29.999999999905032,Liassic,130.0,666.0,2.0,1
144,-0.1599592176414129,0.20217580721586856,0.9661976980246636,788782.7459999999,6345744.433999999,290.3233125000001,322.0,0.0,14.939696248501106,Liassic,132.0,666.0,2.0,1
145,-0.330704035811,-0.05504202139830001,0.9421280255769999,788634.02,6346122.7455,313.19882500000006,261.0,0.0,19.587942467350853,Liassic,134.0,157.220303379,2.0,1
146,0.08536097773328306,0.1920419324381918,0.9776673256613534,788488.2955,6352855.1635,472.18767,24.0,0.0,12.131641635016498,Liassic,135.0,666.0,2.0,1
147,-0.007596123492899999,0.08682408883449999,0.9961946980930001,787929.185,6352587.903,521.7429480000002,355.0,0.0,4.999999999342611,Liassic,141.0,9999.0,1.0,1
148,0.033915007256789656,0.30370244580547084,0.9521631145421182,787966.8944999998,6352746.2020000005,522.4852165,6.0,0.0,17.793678513139078,Liassic,142.0,666.0,2.0,1
149,0.224143868043,0.129409522552,0.9659258262899999,787579.574,6352333.726,511.659021,60.0,0.0,14.999999999778625,Liassic,146.0,9999.0,1.0,1
150,0.06712089350764601,0.06352243172110396,0.9957206869011876,787269.0545000002,6352030.415000001,558.8008145,47.0,0.0,5.302487543349582,Liassic,147.0,666.0,2.0,1
151,-0.148452505549,-0.21201214989599998,0.9659258262899999,792744.323,6349624.188999997,277.447858,215.0,0.0,14.999999999778625,Liassic,153.0,9999.0,1.0,1
152,-0.217286033041,0.0582216170811,0.974370064786,791622.125958,6350092.1519639995,435.953466,285.0,0.0,12.9999999997453,Liassic,154.0,9999.0,1.0,1
153,-0.550968837085,-0.122146850463,0.825538301645,791731.8019264998,6349789.742769001,425.601213,258.0,0.0,34.3568951445119,Liassic,157.0,129.758257797,2.0,1
